Prefijo;Car.Total;Car.Arb ;%Red;#Nodos ;%Red/#Nodos
2;5142;4900;4.70634;222;0.0211997
3;5142;4815;6.35939;291;0.0218536
4;5142;4761;7.40957;391;0.0189503
5;5142;4716;8.28471;500;0.0165694
6;5142;4675;9.08207;613;0.0148158
7;5142;4643;9.7044;735;0.0132033
8;5142;4622;10.1128;868;0.0116507
9;5142;4605;10.4434;1005;0.0103914
10;5142;4593;10.6768;1147;0.00930844
11;5142;4584;10.8518;1292;0.00839923
12;5142;4577;10.9879;1439;0.00763582
13;5142;4573;11.0657;1589;0.00696396
14;5142;4570;11.1241;1740;0.00639315
